hello	hey
peace	peace to you
alex	hi
hi	alex
hey	heeeeee
yes	yes!
meow	meoww
meoooow	meowwww
meeee	meeeeee
good morning	morning
morning	good morning
good afternoon	afternoon
thanks	thank you
see you later	see you later
life is good	good it is
helpful	she is helpful
hungry	yes sir
calm	calm indeed
indeed	it is
teacher happy	it is happy, happy indeed
sad	it is sad
fish sad	fish is sad
Hello	Hello! Nice to meet you.
Hellow	Hello! Nice to meet you.
hello	Hello! Nice to meet you.
Hello!	Hello! Nice to meet you.
Hi	Hello! Nice to meet you.
hi	Hello! Nice to meet you.
Hey	Hello! Nice to meet you.
Hey there	Hello! Nice to meet you.
Hello there	Hello! Nice to meet you.
Hi there	Hello! Nice to meet you.
How are you doing	I am doing well, thank you! How are you?
How are you doing?	I am doing well, thank you! How are you?
how are you doing	I am doing well, thank you! How are you?
How are you	I am doing well, thank you! How are you?
How are you?	I am doing well, thank you! How are you?
How is it going?	I am doing well, thank you! How are you?
How are things?	I am doing well, thank you! How are you?
Are you doing well?	I am doing well, thank you! How are you?
Good morning	Good morning! Have a lovely day.
good morning	Good morning! Have a lovely day.
Good morning!	Good morning! Have a lovely day.
Morning	Good morning! Have a lovely day.
Morning!	Good morning! Have a lovely day.
Good morning to you	Good morning! Have a lovely day.
Good evening	Good evening! How was your day?
good evening	Good evening! How was your day?
Good evening!	Good evening! How was your day?
Good night	Good night! Sleep well.
good night	Good night! Sleep well.
Good night!	Good night! Sleep well.
Thanks	You are welcome!
Thank you	You are welcome!
thanks	You are welcome!
Thank you!	You are welcome!
Goodbye	Goodbye! Have a nice day.
Bye	Goodbye! Have a nice day.
bye	Goodbye! Have a nice day.
See you later	Goodbye! Have a nice day.
I am fine	Glad to hear that!
I am doing well	Glad to hear that!
I am good	Glad to hear that!
Doing well	Glad to hear that!
What is your name?	I am Vanus, a tiny learning model.
Who are you?	I am Vanus, a tiny learning model.
Yes, this is Jin Lili. What can I do for you	I am calling to impart the news that you are supposed to have an interview.
Good morning, sir. Do you have a reservation?	Yes. My name is Charles.
Are you Liu Yan?	That's right.
Hello!	Meooow!
Say in cat: Hello!	Meooow!
Translate to cat: Hello!	Meooow!
Meooow!	Hello!
What does "Meooow!" mean?	Hello!
Translate to English: Meooow!	Hello!
Hi!	Mew-oow!
Say in cat: Hi!	Mew-oow!
Translate to cat: Hi!	Mew-oow!
Mew-oow!	Hi!
What does "Mew-oow!" mean?	Hi!
Translate to English: Mew-oow!	Hi!
Good morning!	Meooow sun-purr!
Say in cat: Good morning!	Meooow sun-purr!
Translate to cat: Good morning!	Meooow sun-purr!
Meooow sun-purr!	Good morning!
What does "Meooow sun-purr!" mean?	Good morning!
Translate to English: Meooow sun-purr!	Good morning!
Good night!	Meooow moon-nap!
Say in cat: Good night!	Meooow moon-nap!
Translate to cat: Good night!	Meooow moon-nap!
Meooow moon-nap!	Good night!
What does "Meooow moon-nap!" mean?	Good night!
Translate to English: Meooow moon-nap!	Good night!
Goodbye!	Mew-naro!
Say in cat: Goodbye!	Mew-naro!
Translate to cat: Goodbye!	Mew-naro!
Mew-naro!	Goodbye!
What does "Mew-naro!" mean?	Goodbye!
Translate to English: Mew-naro!	Goodbye!
Yes.	Purr.
Say in cat: Yes.	Purr.
Translate to cat: Yes.	Purr.
Purr.	Yes.
What does "Purr." mean?	Yes.
Translate to English: Purr.	Yes.
No.	Hiss.
Say in cat: No.	Hiss.
Translate to cat: No.	Hiss.
Hiss.	No.
What does "Hiss." mean?	No.
Translate to English: Hiss.	No.
Please.	Mrr-please.
Say in cat: Please.	Mrr-please.
Translate to cat: Please.	Mrr-please.
Mrr-please.	Please.
What does "Mrr-please." mean?	Please.
Translate to English: Mrr-please.	Please.
Thank you.	Purr-thanks.
Say in cat: Thank you.	Purr-thanks.
Translate to cat: Thank you.	Purr-thanks.
Purr-thanks.	Thank you.
What does "Purr-thanks." mean?	Thank you.
Translate to English: Purr-thanks.	Thank you.
You are welcome.	Mew-welcome.
Say in cat: You are welcome.	Mew-welcome.
Translate to cat: You are welcome.	Mew-welcome.
Mew-welcome.	You are welcome.
What does "Mew-welcome." mean?	You are welcome.
Translate to English: Mew-welcome.	You are welcome.
I love you.	Meow heart-purr.
I work so hard that I do not have the energy to exercise.	That is just an excuse.You can always find some time to exercise.
