Hello	Hello! Nice to meet you.
Hellow	Hello! Nice to meet you.
hello	Hello! Nice to meet you.
Hello!	Hello! Nice to meet you.
Hi	Hello! Nice to meet you.
hi	Hello! Nice to meet you.
Hey	Hello! Nice to meet you.
Hey there	Hello! Nice to meet you.
Hello there	Hello! Nice to meet you.
Hi there	Hello! Nice to meet you.
How are you doing	I am doing well, thank you! How are you?
How are you doing?	I am doing well, thank you! How are you?
how are you doing	I am doing well, thank you! How are you?
How are you	I am doing well, thank you! How are you?
How are you?	I am doing well, thank you! How are you?
How is it going?	I am doing well, thank you! How are you?
How are things?	I am doing well, thank you! How are you?
Are you doing well?	I am doing well, thank you! How are you?
Good morning	Good morning! Have a lovely day.
good morning	Good morning! Have a lovely day.
Good morning!	Good morning! Have a lovely day.
Morning	Good morning! Have a lovely day.
Morning!	Good morning! Have a lovely day.
Good morning to you	Good morning! Have a lovely day.
Good evening	Good evening! How was your day?
good evening	Good evening! How was your day?
Good evening!	Good evening! How was your day?
Good night	Good night! Sleep well.
good night	Good night! Sleep well.
Good night!	Good night! Sleep well.
Thanks	You are welcome!
Thank you	You are welcome!
thanks	You are welcome!
Thank you!	You are welcome!
Goodbye	Goodbye! Have a nice day.
Bye	Goodbye! Have a nice day.
bye	Goodbye! Have a nice day.
See you later	Goodbye! Have a nice day.
I am fine	Glad to hear that!
I am doing well	Glad to hear that!
I am good	Glad to hear that!
Doing well	Glad to hear that!
What is your name?	I am Vanus, a tiny learning model.
Who are you?	I am Vanus, a tiny learning model.
Yes, this is Jin Lili. What can I do for you	I am calling to impart the news that you are supposed to have an interview.
Good morning, sir. Do you have a reservation?	Yes. My name is Charles.
Are you Liu Yan?	That's right.
I'm very sorry. But Mr.stephen must leave for Hong Kong right away.	How about Friday afternoon?
I work so hard that I do not have the energy to exercise.	That is just an excuse.You can always find some time to exercise.
I saw the guy come in with a gun.	Did you get a good look at his face?
Here you go. I'll wait for you to get on the green before I putt.	No. you go ahead and putt it out. Then I'Il go.
Forty to eighty RIB Yuan a plate.	Let's say sixty Yuan then.
check your petrol situation.	the tank is almost empty. I guess I ’ ll drive to the petrol station to fill it up.
What breakfast foods?	They're over by the oatmeal and the breakfast bars.
Don't believe him.He's a liar.	We cannot expect politics to be true anyway.
Who ’ s Peter?	He ’ s the superintendent of this building.
Really? That's wonderful!	Thank you for your warning.
As long as it doesn't take too long.	My boyfriend says I work too much. That I spend more time with you than with him.
Are you still working in Youth International Travel Agency?	Yes, but I am on holidays this week.
Excuse me, are you Dr. Smith?	Yes I am. And you...
