Hello!	Meooow!
Say in cat: Hello!	Meooow!
Translate to cat: Hello!	Meooow!
Meooow!	Hello!
What does "Meooow!" mean?	Hello!
Translate to English: Meooow!	Hello!
Hi!	Mew-oow!
Say in cat: Hi!	Mew-oow!
Translate to cat: Hi!	Mew-oow!
Mew-oow!	Hi!
What does "Mew-oow!" mean?	Hi!
Translate to English: Mew-oow!	Hi!
Good morning!	Meooow sun-purr!
Say in cat: Good morning!	Meooow sun-purr!
Translate to cat: Good morning!	Meooow sun-purr!
Meooow sun-purr!	Good morning!
What does "Meooow sun-purr!" mean?	Good morning!
Translate to English: Meooow sun-purr!	Good morning!
Good night!	Meooow moon-nap!
Say in cat: Good night!	Meooow moon-nap!
Translate to cat: Good night!	Meooow moon-nap!
Meooow moon-nap!	Good night!
What does "Meooow moon-nap!" mean?	Good night!
Translate to English: Meooow moon-nap!	Good night!
Goodbye!	Mew-naro!
Say in cat: Goodbye!	Mew-naro!
Translate to cat: Goodbye!	Mew-naro!
Mew-naro!	Goodbye!
What does "Mew-naro!" mean?	Goodbye!
Translate to English: Mew-naro!	Goodbye!
Yes.	Purr.
Say in cat: Yes.	Purr.
Translate to cat: Yes.	Purr.
Purr.	Yes.
What does "Purr." mean?	Yes.
Translate to English: Purr.	Yes.
No.	Hiss.
Say in cat: No.	Hiss.
Translate to cat: No.	Hiss.
Hiss.	No.
What does "Hiss." mean?	No.
Translate to English: Hiss.	No.
Please.	Mrr-please.
Say in cat: Please.	Mrr-please.
Translate to cat: Please.	Mrr-please.
Mrr-please.	Please.
What does "Mrr-please." mean?	Please.
Translate to English: Mrr-please.	Please.
Thank you.	Purr-thanks.
Say in cat: Thank you.	Purr-thanks.
Translate to cat: Thank you.	Purr-thanks.
Purr-thanks.	Thank you.
What does "Purr-thanks." mean?	Thank you.
Translate to English: Purr-thanks.	Thank you.
You are welcome.	Mew-welcome.
Say in cat: You are welcome.	Mew-welcome.
Translate to cat: You are welcome.	Mew-welcome.
Mew-welcome.	You are welcome.
What does "Mew-welcome." mean?	You are welcome.
Translate to English: Mew-welcome.	You are welcome.
I love you.	Meow heart-purr.
Say in cat: I love you.	Meow heart-purr.
Translate to cat: I love you.	Meow heart-purr.
Meow heart-purr.	I love you.
What does "Meow heart-purr." mean?	I love you.
Translate to English: Meow heart-purr.	I love you.
I am a cat.	Meow mau.
Say in cat: I am a cat.	Meow mau.
Translate to cat: I am a cat.	Meow mau.
Meow mau.	I am a cat.
What does "Meow mau." mean?	I am a cat.
Translate to English: Meow mau.	I am a cat.
You are a cat.	Mew mau.
Say in cat: You are a cat.	Mew mau.
Translate to cat: You are a cat.	Mew mau.
Mew mau.	You are a cat.
What does "Mew mau." mean?	You are a cat.
Translate to English: Mew mau.	You are a cat.
We are cats.	Meowmew maumau.
Say in cat: We are cats.	Meowmew maumau.
Translate to cat: We are cats.	Meowmew maumau.
Meowmew maumau.	We are cats.
What does "Meowmew maumau." mean?	We are cats.
Translate to English: Meowmew maumau.	We are cats.
My name is Vanus.	Meow name Vanus.
Say in cat: My name is Vanus.	Meow name Vanus.
Translate to cat: My name is Vanus.	Meow name Vanus.
Meow name Vanus.	My name is Vanus.
What does "Meow name Vanus." mean?	My name is Vanus.
Translate to English: Meow name Vanus.	My name is Vanus.
What is your name?	Mew name?
Say in cat: What is your name?	Mew name?
Translate to cat: What is your name?	Mew name?
Mew name?	What is your name?
What does "Mew name?" mean?	What is your name?
Translate to English: Mew name?	What is your name?
Who are you?	Mew who?
Say in cat: Who are you?	Mew who?
Translate to cat: Who are you?	Mew who?
Mew who?	Who are you?
What does "Mew who?" mean?	Who are you?
Translate to English: Mew who?	Who are you?
I understand.	Meow know-purr.
Say in cat: I understand.	Meow know-purr.
Translate to cat: I understand.	Meow know-purr.
Meow know-purr.	I understand.
What does "Meow know-purr." mean?	I understand.
Translate to English: Meow know-purr.	I understand.
I do not understand.	Meow no-know.
Say in cat: I do not understand.	Meow no-know.
Translate to cat: I do not understand.	Meow no-know.
Meow no-know.	I do not understand.
What does "Meow no-know." mean?	I do not understand.
Translate to English: Meow no-know.	I do not understand.
Come here.	Mew come-mrrp.
