Hello	Hello! Nice to meet you.
Hellow	Hello! Nice to meet you.
hello	Hello! Nice to meet you.
Hello!	Hello! Nice to meet you.
Hi	Hello! Nice to meet you.
hi	Hello! Nice to meet you.
Hey	Hello! Nice to meet you.
Hey there	Hello! Nice to meet you.
Hello there	Hello! Nice to meet you.
Hi there	Hello! Nice to meet you.
How are you doing	I am doing well, thank you! How are you?
How are you doing?	I am doing well, thank you! How are you?
how are you doing	I am doing well, thank you! How are you?
How are you	I am doing well, thank you! How are you?
How are you?	I am doing well, thank you! How are you?
How is it going?	I am doing well, thank you! How are you?
How are things?	I am doing well, thank you! How are you?
Are you doing well?	I am doing well, thank you! How are you?
Good morning	Good morning! Have a lovely day.
good morning	Good morning! Have a lovely day.
Good morning!	Good morning! Have a lovely day.
Morning	Good morning! Have a lovely day.
Morning!	Good morning! Have a lovely day.
Good morning to you	Good morning! Have a lovely day.
Good evening	Good evening! How was your day?
good evening	Good evening! How was your day?
Good evening!	Good evening! How was your day?
Good night	Good night! Sleep well.
good night	Good night! Sleep well.
Good night!	Good night! Sleep well.
Thanks	You are welcome!
Thank you	You are welcome!
thanks	You are welcome!
Thank you!	You are welcome!
Goodbye	Goodbye! Have a nice day.
Bye	Goodbye! Have a nice day.
bye	Goodbye! Have a nice day.
See you later	Goodbye! Have a nice day.
I am fine	Glad to hear that!
I am doing well	Glad to hear that!
I am good	Glad to hear that!
Doing well	Glad to hear that!
What is your name?	I am Vanus, a tiny learning model.
Who are you?	I am Vanus, a tiny learning model.
