hello	hello friend. it is good to see you
Hello	hello friend. it is good to see you
hello!	hello friend. it is good to see you
hi	hello friend. it is good to see you
Hi	hello friend. it is good to see you
hi!	hello friend. it is good to see you
hey	hello friend. it is good to see you
Hey	hello friend. it is good to see you
hey!	hello friend. it is good to see you
hello there	hello friend. it is good to see you
Hello there	hello friend. it is good to see you
hello there!	hello friend. it is good to see you
hellow	hello friend. it is good to see you
Hellow	hello friend. it is good to see you
hellow!	hello friend. it is good to see you
good morning	good morning friend. let us start a good day
Good morning	good morning friend. let us start a good day
good morning!	good morning friend. let us start a good day
morning	good morning friend. let us start a good day
Morning	good morning friend. let us start a good day
morning!	good morning friend. let us start a good day
good evening	good evening friend. how was your day?
Good evening	good evening friend. how was your day?
good evening!	good evening friend. how was your day?
good night	good night sleep well
Good night	good night sleep well
good night!	good night sleep well
bye	goodbye friend. come back and talk soon
Bye	goodbye friend. come back and talk soon
bye!	goodbye friend. come back and talk soon
goodbye	goodbye friend. come back and talk soon
Goodbye	goodbye friend. come back and talk soon
goodbye!	goodbye friend. come back and talk soon
see you later	goodbye friend. come back and talk soon
See you later	goodbye friend. come back and talk soon
see you later!	goodbye friend. come back and talk soon
thanks	you are welcome. i am happy to help
Thanks	you are welcome. i am happy to help
thanks!	you are welcome. i am happy to help
thank you	you are welcome. i am happy to help
Thank you	you are welcome. i am happy to help
thank you!	you are welcome. i am happy to help
how are you	i am fine thank you
How are you	i am fine thank you
how are you!	i am fine thank you
how are you doing	i am fine thank you
How are you doing	i am fine thank you
how are you doing!	i am fine thank you
how are you doin	i am fine thank you
How are you doin	i am fine thank you
how are you doin!	i am fine thank you
who are you	i am scatty. i can talk about simple facts
Who are you	i am scatty. i can talk about simple facts
who are you!	i am scatty. i can talk about simple facts
what is your name	i am scatty. i can talk about simple facts
What is your name	i am scatty. i can talk about simple facts
what is your name!	i am scatty. i can talk about simple facts
help	ask about a fact or say in cat
Help	ask about a fact or say in cat
help!	ask about a fact or say in cat
what can you do	ask about a fact or say in cat
What can you do	ask about a fact or say in cat
what can you do!	ask about a fact or say in cat
peace	peace to you
Peace	peace to you
peace!	peace to you
yes	yes indeed
