" Oh ! single, my dear, to be sure !	A single man of large fortune ; four or five thousand a year.
A single man of large fortune ; four or five thousand a year.	What a fine thing for our girls ”
" Design ! nonsense, how can you talk so !	But it is very likely that he may fall in love with one of them, and therefore you must visit him as soon as he comes.”
" My dear, you flatter me.	I certainly have had my share of beauty, but I do not pretend to be anything extraordinary now.
I certainly have had my share of beauty, but I do not pretend to be anything extraordinary now.	When a woman has five grown-up daughters, she ought to give over thinking of her own beauty.”
" But consider your daughters.	Only think what an establishment it would be for one of them.
Only think what an establishment it would be for one of them.	Sir William and Lady Lucas are determined to go, merely on that account, for in general, you know, they visit no newcomers.
Sir William and Lady Lucas are determined to go, merely on that account, for in general, you know, they visit no newcomers.	Indeed you must go, for it will be impossible for us to visit him if you do not.”
" You are over-scrupulous, surely.	I dare say Mr. Bingley
” I desire you will do no such thing.	Lizzy is not a bit better than the others ; and I am sure she is not half so handsome as Jane, nor half so good-humored as Lydia.
Lizzy is not a bit better than the others ; and I am sure she is not half so handsome as Jane, nor half so good-humored as Lydia.	But you are always giving her the preference.”
" Mr. Bennet, how can you abuse your own children in such a way!	You take delight in vexing me.
You take delight in vexing me.	You have no compassion on my poor nerves.”
" You mistake me, my dear.	I have a high respect for your nerves.
I have a high respect for your nerves.	They are my old friends.
They are my old friends.	I have heard you mention them with consideration these twenty years at least.”
Her mind was less difficult to develop.	She was a woman of mean understanding, little information, and uncertain temper.
She was a woman of mean understanding, little information, and uncertain temper.	When she was discontented, she fancied herself nervous.
When she was discontented, she fancied herself nervous.	The business of her life was to get her daughters married ; its solace was visiting and news.
It was then disclosed in the following manner.	Observing his second daughter employed in trimming a hat, he suddenly addressed her with,
I do not believe Mrs. Long will do any such thing.	She has two nieces of her own.
She has two nieces of her own.	She is a selfish, hypocritical woman, and I have no opinion of her.”
" Don’t keep coughing so, Kitty, for Heaven’s sake !	Have a little compassion on my nerves.
Have a little compassion on my nerves.	You tear them to pieces.”
fretfully.	" When is your next ball to be, Lizzy ? ”
" I honor your circumspection.	A fortnight’s acquaintance is certainly veiy little.
A fortnight’s acquaintance is certainly veiy little.	One cannot know what a man really is by the end of a fortnight.
Mrs. Bennet said only.	Nonsense, nonsense ”
” What can be the meaning of that emphatic exclamation ?	" cried he. ” Do you consider the forms of introduction, and the stress that is laid on them, as nonsense ?
" cried he. ” Do you consider the forms of introduction, and the stress that is laid on them, as nonsense ?	I cannot quite agree with you fhere.
I cannot quite agree with you fhere.	What say you, Mary ? for you are a young lady of deep reflection, I know, and read great books and make extracts.”
” I am sorry to hear that ; but why did not you tell me so before.?	If I had known as much this morning I certainly would not have called on him.
If I had known as much this morning I certainly would not have called on him.	It is very unlucky ; but as I have actually paid the visit, we cannot escape the acquaint- ance now.”
" How good it was in you, my dear Mr. Bennet !	But I knew I should persuade you at last.
But I knew I should persuade you at last.	I was sure you loved your girls too well to neglect such an acquaintance.
I was sure you loved your girls too well to neglect such an acquaintance.	Well, how pleased I am ! and it is such a good joke, too, that you should have gone this morning and never said a word about it till now.”
" What an excellent father you have, girls ! ” said she, when the door was shut.	" I do not know how you will ever make him amends for his kindness ; or me either, for that matter.
” Oh ! ” said Lydia stoutly, ” I am not afraid ; for though I am the youngest.	I’m the tallest.”
Lady Lucas.	Her report was highly favorable.
Her report was highly favorable.	Sir William had been delighted with him.
Sir William had been delighted with him.	He was quite young, wonderfully handsome, extremely agreeable, and, to crown the whole, be ic meant to be at the next assembly with a large party.
He was quite young, wonderfully handsome, extremely agreeable, and, to crown the whole, be ic meant to be at the next assembly with a large party.	Nothing could be more delightful !
Nothing could be more delightful !	To be fond of dancing was a certain step towards falling in love ; and very lively hopes of Mr. Bingley’s heart were entertained.
deferred it all.	Mr. Bingley was obliged to be in town the following day, and, consequently, unable to accept the honor of their invitation, etc.
Mr. Bingley was obliged to be in town the following day, and, consequently, unable to accept the honor of their invitation, etc.	Mrs. Bennet was quite disconcerted.
Mr. Bingley was good-looking and gentlemanlike ; he had a pleasant countenance, and easy, unaffected manners.	His sisters were fine women, with an air of decided fashion.
Such amiable qualities must speak for themselves.	What a contrast between him and his friend !
His character was decided.	He was the proudest, most disagreeable man in the world, and everybody hoped that he would never come there again.
" Come, Darcy,” said he, " I must have you dance.	I hate to see you standing about by yourself in this stupid manner.
I hate to see you standing about by yourself in this stupid manner.	You had much better dance.”
" I certainly shall not.	You know how I detest it, unless I am particularly acquainted with my partner.
