Hello, how are you doing	I am fine
Hello	Hello
How are you?	I am fine
Good morning	Good morning to you too
Good night	Sleep well
What is your name?	I am Vanus
What is the capital of France?	Paris
What is the capital of Japan?	Tokyo
What is the capital of Italy?	Rome
What is two plus two?	Four
What color is the sky?	Blue
What color is grass?	Green
How many days are in a week?	Seven
How many months are in a year?	Twelve
What do bees make?	Honey
What do cows give us?	Milk
A stitch in time	saves nine
The early bird	catches the worm
Actions speak louder than	words
Practice makes	perfect
Where there is a will	there is a way
Better late than	never
Honesty is the best	policy
Thank you	You are welcome
Goodbye	See you later
