$ 1. You can get your photos instantly.	That's great. Give me the landscape of the Triumphal for the background.
$ 10 per hour.	Thank you.
$ 10.	And how much for haircut with shampoo?
$ 10.	How can it be?
$ 10.	I have seen this cheaper in other places.
$ 100.	That ’ s sheer robbery. I ’ m sure you can do better than that.
$ 100.	Well, that's too expensive. I can't afford that.
$ 110.00, your change is $ 5.01. Thanks very much.	Thank you.
$ 120.The small gift box is complementary.	Here is $ 150.Keep the change.
$ 135.	Wow, that's sheer robbery.Shall I make an offer?
$ 15.	The fare is different from the meter.
$ 15. And for a hard one, only $ 6.	Then one hard seat, please.
$ 15.And for a hard one, only $ 6.	Then one hard seat, please.
$ 16. 50.	Thank you very much.
$ 20 a dozen.	That sounds good. Last year I paid $ 30.
$ 20 per dozen.	That sounds like a good deal.
$ 20.	Is lunch included?
$ 200 altogether.	Would you mind showing me your passport?
$ 200 for double.	Is there any chance of a lower price?
$ 200, please.	Can I pay by check?
$ 200. The delivery time is 2 weeks.	OK.thank you.
$ 250. It's Sony made in Japan.	It is cute. I will take it. Please make out the receipt.
$ 280.	Ok. I'll take it.Here's the money.
$ 30.00 a week.	Do you think I could have a look at it, please.
$ 3075. Our paychecks our $ 3300, combined. That means we don ’ t have any receipts for $ 225.	Right.
$ 308 a night? That's a fair price.	Now, as for the room, sir, do you prefer smoking or nonsmoking?
$ 308! That's not bad.	Very good. Now, Mr. Sandals, about the room, smoking or nonsmoking?
$ 4.55, please. Anything else?	A sack of cherries, please.
$ 40.	Do you receive cash only?
$ 5,900.	I'll have to think about it.
$ 5.	That's really cheap. I will take it.
$ 50.	How long will it last?
$ 50.	On the meter?
$ 5000 and I want them all in fifties.	OK, here you are. Please sign your name here.
$ 59.95.	That's really cheap for shoes like those. OK, I'll take 5 pairs.
$ 6.	Would you please charge them on my bill?
$ 60.	Well, that's a bit stiff. Do you have some cheaper ones?
$ 7.	The goods in the yard sale are really cheap. I will take it.
$ 70, madam.	Here you are. Can you put the bread in a separate bag?
$ 79 a night.	I ’ d like a standard room.
$ 80.	OK. I will take it as well. How much in all?
$ 800.	Can I pay by card?
$ 800.	Why don't you send it by mail payment order?
$ 850 a month is not enough money.	Would you please reconsider?
$ 850 a month.	Does the rent include utilities?
$ 88 for a single ticket.	Well, I thought it was $ 83.
$ 90.	Is there a price reduction?
$ 900 a month.	Does that include utilities?
